"weekday","hour","useragent","region","city","adexchange","domain","slotid","slotwidth","slotheight","slotvisibility","slotformat","slotprice","creative","keypage","click"
"1","6","windows_ie","80","81","2","trqRTv1JM91vjqKbu-","1884878627","728","90","1","0","5","59f065a795a663140e36eec106464524","f4a09c06b67d0fcce088ee6e86ca052a","0"
"4","14","windows_ie","1","1","3","31drTvprdN1RFt","Edu_F_Upright","300","250","0","0","20","44966cc8da1ed40c95d59e863c8c75f0","43f4a37f42a7c5e6219e2601b26c6976","0"
"5","17","windows_chrome","1","1","1","eKFjTu1Jgqc7gspy","mm_26632216_3300745_10759412","300","250","2","1","0","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"1","0","windows_firefox","216","217","2","8a69772673d004e81199579f656a155","1387987420","468","60","FirstView","Na","5","7328","null","0"
"0","22","windows_ie","298","305","3","5F1RQS9rg5scFsf","News_Width5","960","90","0","0","50","011c1a3d4d3f089a54f9b70a4c0a6eb3","43f4a37f42a7c5e6219e2601b26c6976","0"
"0","22","windows_firefox","393","393","1","k1Sgtx5RdousJhb4uSFK","mm_25531301_2394807_11156363","728","90","0","1","0","48f2e9ba15708c0146bda5e1dd653caa","bebefa5efe83beee17a3d245e7c5085b","0"
"1","9","windows_chrome","164","165","2","trqRTvKaXTKfgg24JKTI","2015392487","200","200","1","0","5","82f125e356439d73902ae85e2be96777","361e128affece850342293213691a043","0"
"3","15","windows_ie","216","217","2","lFMrBek0gImmwMFh5SqfNX","3192423951","336","280","2","0","5","77819d3e0b3467fe5c7b16d68ad923a1","bebefa5efe83beee17a3d245e7c5085b","0"
"6","18","windows_ie","308","309","2","trqRTvTEMNF8jOMKaFLWvpdh","736544577","728","90","2","0","5","48f2e9ba15708c0146bda5e1dd653caa","bebefa5efe83beee17a3d245e7c5085b","0"
"0","13","windows_ie","276","282","2","trqRTJkrXTq8wTK4wJB","1207568570","300","250","1","0","5","449a22cd91d9042eda3d3a1b89a22ea8","0f951a030abdaedd733ee8d114ce2944","0"
"4","1","windows_ie","2","2","2","fb16229d425dcda35bdcce04d491b9a2","3006236967","728","90","OtherView","Na","5","10719","null","0"
"4","7","windows_ie","80","85","2","trqRTJn7O95I1mKYUV","1720123646","250","250","2","0","5","c936045d792f6ea3aa22d86d93f5cf23","d29e59bf0f7f8243858b8183f14d4412","0"
"5","21","windows_chrome","80","81","2","null","321727170","300","250","1","0","5","44966cc8da1ed40c95d59e863c8c75f0","361e128affece850342293213691a043","0"
"2","15","windows_ie","15","17","3","3FF-e59aG5syJqKbuKz","Finance_F_Rectangle","300","250","0","0","50","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"5","15","windows_chrome","15","18","3","3FKElpuEMusyJqKbuKz","Fashion_F_Width1","1000","90","0","0","20","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"5","15","windows_ie","146","153","2","DFpETuMYXxscFU","1493479142","728","90","2","0","5","48f2e9ba15708c0146bda5e1dd653caa","bebefa5efe83beee17a3d245e7c5085b","0"
"5","14","windows_ie","216","222","4","8573eaae08a2fd0760c44d23de74a213","9223372032561037068","300","250","FirstView","Na","0","10722","null","0"
"4","16","windows_ie","94","101","1","trqRTummPvas1m58uG","mm_10058411_2865562_9929053","300","250","2","1","0","00fccc64a1ee2809348509b7ac2a97a5","b2e35064f3549d447edbbdfb1f707c8c","0"
"4","13","windows_chrome","1","1","2","3SKoteC0XTFUwgk4JKTI","2560300525","300","250","2","0","5","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"6","10","windows_ie","79","79","1","trqRTuxvBQ1mjM5SaFpYqxMzmw","mm_27762412_2408764_9264484","300","250","2","1","0","00fccc64a1ee2809348509b7ac2a97a5","b2e35064f3549d447edbbdfb1f707c8c","0"
"4","22","windows_chrome","216","216","2","DFpETu50BNKhaNKbuKz","2931304766","468","60","2","0","5","2f88fc9cf0141b5bbaf251cab07f4ce7","361e128affece850342293213691a043","0"
"4","14","windows_ie","79","79","3","5F1RQS9rg5scFsf","News_F_Width1","1000","90","0","0","80","c46090c887c257b61ab1fa11baee91d8","0f951a030abdaedd733ee8d114ce2944","0"
"4","22","windows_ie","146","154","1","trqRTvFRLpscFU","mm_10027070_2459574_9659312","160","600","2","1","0","cb7c76e7784031272e37af8e7e9b062c","bebefa5efe83beee17a3d245e7c5085b","0"
"1","20","windows_chrome","276","276","2","e2b79494f60194e59997ee0a3d02c1bb","3661289625","250","250","OtherView","Na","5","12620","null","0"
"1","23","windows_ie","3","4","3","ersbQv1RdoTy1m58uG","ALLINONE_F_Width1","1000","90","0","0","70","a10c31a8ff5f42930b4c34035e523886","d29e59bf0f7f8243858b8183f14d4412","0"
"6","21","windows_ie","146","151","3","5F1RQS9rg5scFsf","News_F_Width1","1000","90","0","0","80","832b91d59d0cb5731431653204a76c0e","bebefa5efe83beee17a3d245e7c5085b","0"
"5","1","windows_ie","201","208","4","33235ca84c5fee9254e6512a41b3ad5e","9223372032561107340","160","600","SecondView","Na","0","10733","null","0"
"5","0","windows_ie","216","222","1","5Sc-GxfIL5scFsf","mm_29637155_2534111_11197917","160","600","1","1","0","cb7c76e7784031272e37af8e7e9b062c","bebefa5efe83beee17a3d245e7c5085b","0"
"1","20","windows_ie","94","96","1","8d60dc99642e44599aa3da8c5568476f","mm_10002653_101645_13216504","950","90","Na","Na","0","10718","null","0"
"6","8","windows_ie","3","7","3","3FKElpuEMusyJqKbuKz","Fashion_F_Rectangle","300","250","0","0","50","44966cc8da1ed40c95d59e863c8c75f0","43f4a37f42a7c5e6219e2601b26c6976","0"
"4","23","windows_chrome","216","217","2","null","1229919127","728","90","2","0","5","b90c12ed2bd7950c6027bf9c6937c48a","361e128affece850342293213691a043","0"
"6","10","windows_ie","276","277","1","6OkxTuuxOeBs1m58uG","mm_12761813_1803788_9079497","300","250","2","1","0","d881a6c788e76c2c27ed1ef04f119544","d29e59bf0f7f8243858b8183f14d4412","0"
"5","13","windows_ie","216","217","1","de6d8b674cde8053f9c5c082d1c3032e","mm_29956308_3002961_11102605","760","90","FifthView","Na","0","7331","null","0"
"4","16","android_safari","183","184",,"null","1","320","50","FirstView","Na","19","11908","null","0"
"3","0","windows_ie","146","162","1","trqRTJubX5scFsf","mm_14539978_2071324_8463350","300","250","1","1","0","911b2d84826786018761e8c0b0a3a60c","d29e59bf0f7f8243858b8183f14d4412","0"
"2","0","windows_ie","216","231","1","trqRTummPvas1m58uG","mm_10058411_2865562_9929053","300","250","2","1","0","911b2d84826786018761e8c0b0a3a60c","d29e59bf0f7f8243858b8183f14d4412","0"
"5","21","windows_chrome","276","276","2","DFpETud0gTq7jmm4wspENpn","3010469864","728","90","2","0","5","59f065a795a663140e36eec106464524","f4a09c06b67d0fcce088ee6e86ca052a","0"
"4","6","windows_chrome","65","66","2","trqRTuF9Gqf7gspy","894265548","300","250","2","0","5","e1af08818a6cd6bbba118bb54a651961","a5d0bde104fea52ea466c77b37948424","0"
"4","23","windows_chrome","15","16","2","trqRTuMvjTN7X9KbuKz","1074451248","728","90","0","0","148","48f2e9ba15708c0146bda5e1dd653caa","bebefa5efe83beee17a3d245e7c5085b","0"
"2","20","windows_chrome","164","167","2","trqRTuMvjTN7X9KbuKz","593718700","728","90","0","0","192","b90c12ed2bd7950c6027bf9c6937c48a","361e128affece850342293213691a043","0"
"0","15","windows_ie","275","275","1","lsxvGpuvjZqo1mKYUV","mm_30232185_2681382_11214910","360","300","0","1","0","6b9331e0f0dbbfef42c308333681f0a3","4f8e1c55abc204c2c8f1296dbc223af3","0"
"5","15","windows_ie","183","190","1","trqRTJkrBoq7JsNr5SqfNX","mm_34022157_3445226_11175100","336","280","2","1","0","77819d3e0b3467fe5c7b16d68ad923a1","bebefa5efe83beee17a3d245e7c5085b","0"
"0","10","windows_chrome","308","309","1","trqRTJkrBoq7JsNr5SqfNX","mm_34022157_3445226_11175096","336","280","2","1","0","77819d3e0b3467fe5c7b16d68ad923a1","bebefa5efe83beee17a3d245e7c5085b","0"
"6","9","windows_ie","40","52","1","trqRTJz7P9T4wTKbuKz","mm_31490035_2989693_10121481","336","280","2","1","0","f65c8bdb41e9015970bac52baa813239","9be83422522025c09a44593ecd1af8ca","0"
